user_id,transaction_type,amount,balance_before,balance_after,timestamp,is_anomaly
user_51,recarga,19821.54,474314.99,494136.52999999997,2023-01-01 00:00:00,0
user_92,recarga,5743.16,217815.04,223558.2,2023-01-01 00:01:00,0
user_14,retiro,17011.92,11710.15,-5301.769999999999,2023-01-01 00:02:00,0
user_71,recarga,26655.67,469606.25,496261.92,2023-01-01 00:03:00,0
user_60,recarga,33147.4,16918.13,50065.53,2023-01-01 00:04:00,0
user_20,retiro,4698.45,334520.28,329821.83,2023-01-01 00:05:00,0
user_82,recarga,23343.03,168216.55,191559.58,2023-01-01 00:06:00,0
user_86,recarga,2438737.5,240491.47,2679228.97,2023-01-01 00:07:00,1
user_74,recarga,24239.52,278169.73,302409.25,2023-01-01 00:08:00,0
user_74,recarga,19114.5,210145.43,229259.93,2023-01-01 00:09:00,0
user_87,retiro,11439.43,389440.71,378001.28,2023-01-01 00:10:00,0
user_99,retiro,4933.63,466046.14,461112.51,2023-01-01 00:11:00,0
user_23,recarga,33020.03,52341.91,85361.94,2023-01-01 00:12:00,0
user_2,retiro,13588.47,402123.91,388535.44,2023-01-01 00:13:00,0
user_21,recarga,11397.31,73048.86,84446.17,2023-01-01 00:14:00,0
user_52,recarga,11825.95,49335.82,61161.770000000004,2023-01-01 00:15:00,0
user_1,recarga,21817.77,478357.41,500175.18,2023-01-01 00:16:00,0
user_87,recarga,38243.5,249755.91,287999.41000000003,2023-01-01 00:17:00,0
user_29,recarga,8610.53,84775.61,93386.14,2023-01-01 00:18:00,0
user_37,retiro,32019.99,289278.99,257259.0,2023-01-01 00:19:00,0
user_1,retiro,8267.99,138986.2,130718.21,2023-01-01 00:20:00,0
user_63,recarga,41175.19,237511.42,278686.61,2023-01-01 00:21:00,0
user_59,recarga,4033.48,316083.2,320116.68,2023-01-01 00:22:00,0
user_20,retiro,11880.71,435942.22,424061.50999999995,2023-01-01 00:23:00,0
user_32,retiro,14118.26,11509.89,-2608.370000000001,2023-01-01 00:24:00,0
user_75,retiro,18233.48,114928.92,96695.44,2023-01-01 00:25:00,0
user_57,recarga,11227.5,57172.57,68400.07,2023-01-01 00:26:00,0
user_21,retiro,16136.02,57577.87,41441.850000000006,2023-01-01 00:27:00,0
user_88,recarga,32724.01,473430.93,506154.94,2023-01-01 00:28:00,0
user_48,recarga,30484.07,468680.64,499164.71,2023-01-01 00:29:00,0
user_90,recarga,30347.61,377160.96,407508.57,2023-01-01 00:30:00,0
user_58,recarga,31559.72,325100.89,356660.61,2023-01-01 00:31:00,0
user_41,recarga,4639.18,425505.52,430144.7,2023-01-01 00:32:00,0
user_91,recarga,4340.29,38620.28,42960.57,2023-01-01 00:33:00,0
user_59,recarga,13286.76,68548.04,81834.79999999999,2023-01-01 00:34:00,0
user_79,retiro,14027.38,165385.33,151357.94999999998,2023-01-01 00:35:00,0
user_14,recarga,14137.98,417921.27,432059.25,2023-01-01 00:36:00,0
user_61,recarga,22774.98,241393.95,264168.93,2023-01-01 00:37:00,0
user_61,recarga,31152.5,256751.63,287904.13,2023-01-01 00:38:00,0
user_46,retiro,15335.9,122340.06,107004.16,2023-01-01 00:39:00,0
user_61,recarga,11846.83,327709.87,339556.7,2023-01-01 00:40:00,0
user_50,recarga,28129.23,445042.66,473171.88999999996,2023-01-01 00:41:00,0
user_54,recarga,17180.36,171461.97,188642.33000000002,2023-01-01 00:42:00,0
user_63,retiro,16577.37,313401.11,296823.74,2023-01-01 00:43:00,0
user_2,retiro,23490.75,172654.99,149164.24,2023-01-01 00:44:00,0
user_50,recarga,23399.7,398432.36,421832.06,2023-01-01 00:45:00,0
user_6,recarga,9860.96,242730.27,252591.22999999998,2023-01-01 00:46:00,0
user_20,retiro,16850.21,176339.82,159489.61000000002,2023-01-01 00:47:00,0
user_72,recarga,19672.23,215823.94,235496.17,2023-01-01 00:48:00,0
user_38,retiro,27095.57,54701.49,27605.92,2023-01-01 00:49:00,0
user_17,recarga,25309.33,434397.41,459706.74,2023-01-01 00:50:00,0
user_3,recarga,12347.29,479453.84,491801.13,2023-01-01 00:51:00,0
user_88,recarga,12789.27,243932.95,256722.22,2023-01-01 00:52:00,0
user_59,recarga,7987.23,118455.23,126442.45999999999,2023-01-01 00:53:00,0
user_13,retiro,11340.32,335681.54,324341.22,2023-01-01 00:54:00,0
user_8,retiro,8781.17,231666.92,222885.75,2023-01-01 00:55:00,0
user_89,recarga,31656.17,133627.04,165283.21000000002,2023-01-01 00:56:00,0
user_52,retiro,12093.44,28832.24,16738.800000000003,2023-01-01 00:57:00,0
user_1,recarga,12015.27,445955.18,457970.45,2023-01-01 00:58:00,0
user_83,recarga,1877.05,400399.83,402276.88,2023-01-01 00:59:00,0
user_91,recarga,1000.0,416212.97,417212.97,2023-01-01 01:00:00,0
user_59,retiro,19486.71,225521.47,206034.76,2023-01-01 01:01:00,0
user_70,retiro,14149.28,379095.14,364945.86,2023-01-01 01:02:00,0
user_43,retiro,16652.53,294800.38,278147.85,2023-01-01 01:03:00,0
