user_id,transaction_type,amount,balance_before,balance_after,timestamp,is_anomaly,balance_ratio,amount_to_balance_ratio,norm_amount
user_51,recarga,19821.54,474314.99,494136.53,2023-01-01 00:00:00,0,-0.012933742130013023,-0.7233171356745874,0.2738789582980789
user_92,recarga,5743.16,217815.04,223558.2,2023-01-01 00:01:00,0,-0.016326317107427685,-0.998938728759857,-1.1085007928054222
user_14,retiro,17011.92,11710.15,-5301.769999999999,2023-01-01 00:02:00,0,-0.343390208856651,2.367356428854925,0.10867501324905551
user_71,recarga,26655.67,469606.25,496261.92,2023-01-01 00:03:00,0,-0.009640579065411643,-0.480625699765005,0.5898626782053035
user_60,recarga,33147.4,16918.13,50065.53,2023-01-01 00:04:00,0,0.4072295798349727,2.383065843808952,0.8188799823075311
user_20,retiro,4698.45,334520.28,329821.83,2023-01-01 00:05:00,0,-0.02521726084044481,-1.239912116492193,-1.3421412081443607
user_82,recarga,23343.03,168216.55,191559.58,2023-01-01 00:06:00,0,0.008392727788990985,0.5135393393887893,0.4489892549118312
user_86,recarga,2438737.5,240491.47,2679228.97,2023-01-01 00:07:00,1,2.182079632473573,2.3912965253279506,4.785626446615059
user_74,recarga,24239.52,278169.73,302409.25,2023-01-01 00:08:00,0,-0.0029596197961621043,-0.053245919193111245,0.48910676181540125
user_74,recarga,19114.5,210145.43,229259.93,2023-01-01 00:09:00,0,-0.002119750120700977,-0.004990748305288953,0.23475641006935166
user_87,retiro,11439.43,389440.71,378001.28,2023-01-01 00:10:00,0,-0.02859013419545913,-0.9430210191469098,-0.3272027109069373
user_99,retiro,4933.63,466046.14,461112.51,2023-01-01 00:11:00,0,-0.02445614718686232,-1.3111461963235769,-1.285051716306457
user_23,recarga,33020.03,52341.91,85361.94,2023-01-01 00:12:00,0,0.11646023568830129,2.1476014361738582,0.8148601073345502
user_2,retiro,13588.47,402123.91,388535.44,2023-01-01 00:13:00,0,-0.02956225426333407,-0.8628199271093733,-0.13687129494791456
user_21,recarga,11397.31,73048.86,84446.17,2023-01-01 00:14:00,0,0.012186292770020687,0.6674174474402993,-0.3313019964716746
user_52,recarga,11825.95,49335.82,61161.77,2023-01-01 00:15:00,0,0.030578751399757992,1.2326482612031189,-0.29031464118672623
user_1,recarga,21817.77,478357.41,500175.18,2023-01-01 00:16:00,0,-0.012093499020550737,-0.6591774194968049,0.3768333855786667
user_87,recarga,38243.5,249755.91,287999.41000000003,2023-01-01 00:17:00,0,0.011548842210537645,0.6426272375552982,0.9675611009253939
user_29,recarga,8610.53,84775.61,93386.14,2023-01-01 00:18:00,0,0.00021343896479593069,0.1233021872507065,-0.6455003897181559
user_37,retiro,32019.99,289278.99,257259.0,2023-01-01 00:19:00,0,-0.046487082011349753,0.22716704109266084,0.7827160659809246
user_1,retiro,8267.99,138986.2,130718.21,2023-01-01 00:20:00,0,-0.03521709913419349,-0.4388663786717679,-0.6914180792068964
user_63,recarga,41175.19,237511.42,278686.61,2023-01-01 00:21:00,0,0.015997655880067185,0.8073120937452652,1.0438661341319688
user_59,recarga,4033.48,316083.2,320116.68,2023-01-01 00:22:00,0,-0.01931956631480258,-1.266174072319545,-1.5215645984144235
user_20,retiro,11880.71,435942.22,424061.51,2023-01-01 00:23:00,0,-0.028123408286203515,-0.9823518411726863,-0.2851919670452527
